time,x1,x2,x3,parent_symbol,projected_symbol
38719,1.241452,0.534889,-3.003929,738,2
38720,1.228868,0.511744,-3.086277,738,2
38721,1.214509,0.487888,-3.164882,738,2
38722,1.198382,0.463349,-3.239640,738,2
38723,1.180494,0.438153,-3.310449,738,2
38724,1.160858,0.412329,-3.377211,994,2
38725,1.139160,0.385890,-3.439805,994,2
38726,1.115298,0.358904,-3.498072,994,2
38727,1.089574,0.331435,-3.551868,994,2
38728,1.062421,0.303498,-3.601138,994,2
38729,1.034122,0.275092,-3.645903,994,2
38730,1.004693,0.246226,-3.686189,994,2
38731,0.973960,0.216932,-3.721955,994,2
38732,0.941735,0.187254,-3.753090,994,2
38733,0.907960,0.157241,-3.779451,994,2
38734,0.872741,0.126934,-3.800927,994,2
38735,0.836265,0.096364,-3.817466,994,2
38736,0.798697,0.065557,-3.829070,994,2
38737,0.760099,0.034545,-3.835758,994,2
38738,0.720441,0.003363,-3.837534,994,2
38739,0.679659,-0.027945,-3.834370,994,2
38740,0.637728,-0.059332,-3.826223,994,2
38741,0.594693,-0.090756,-3.813053,994,2
38742,0.550654,-0.122177,-3.794847,994,2
38743,0.505719,-0.153560,-3.771619,994,2
38744,0.459967,-0.184868,-3.743404,1010,2
38745,0.413431,-0.216054,-3.710233,1010,2
38746,0.366158,-0.246919,-3.672110,1010,2
38747,0.318522,-0.277477,-3.629052,1010,2
38748,0.270788,-0.307714,-3.581132,1010,2
38749,0.223090,-0.337618,-3.528445,1010,2
38750,0.175420,-0.367165,-3.471078,1010,2
38751,0.127700,-0.396311,-3.409092,1010,2
38752,0.079882,-0.425004,-3.342524,1010,2
38753,0.032010,-0.453191,-3.271413,1010,2
38754,-0.015792,-0.480828,-3.195827,1010,2
38755,-0.063381,-0.507882,-3.115866,1010,2
38756,-0.110659,-0.534325,-3.031657,1010,2
38757,-0.157600,-0.560125,-2.943328,1010,2
38758,-0.204225,-0.585245,-2.850991,1010,2
38759,-0.250548,-0.609641,-2.754746,1010,2
38760,-0.296537,-0.633272,-2.654689,1010,2
38761,-0.342108,-0.656099,-2.550928,1010,2
38762,-0.387155,-0.678093,-2.443596,1010,2
38763,-0.431588,-0.699226,-2.332842,1010,2
38764,-0.475354,-0.719475,-2.218823,1010,2
38765,-0.518436,-0.738809,-2.101691,1010,2
38766,-0.560821,-0.757198,-1.981591,1010,2
38767,-0.602478,-0.774611,-1.858664,1010,2
38768,-0.643347,-0.791020,-1.733059,1010,2
38769,-0.683349,-0.806400,-1.604934,1010,2
38770,-0.722407,-0.820732,-1.474464,1010,2
